month,year,stolen_recovered,autos_stolen,grand_total
Jul,2023,65,690,755
Feb,2023,61,685,746
Jan,2023,53,644,697
Aug,2023,52,596,648
Apr,2023,50,543,593
May,2023,47,561,608
Jun,2023,43,511,554
Sep,2023,42,469,511
Oct,2023,37,418,455
Mar,2023,34,592,626
Dec,2022,28,503,531
Jan,2020,24,239,263
Nov,2022,23,348,371
Nov,2020,20,200,220
Jan,2022,19,221,240
May,2019,19,208,227
Jul,2021,19,190,209
Aug,2020,19,195,214
Feb,2020,18,185,203
Jun,2022,17,230,247
Aug,2022,17,300,317
Oct,2019,17,186,203
May,2021,15,256,271
May,2022,15,251,266
Nov,2019,15,177,192
Dec,2019,15,234,249
Jan,2019,14,200,214
Mar,2022,14,224,238
Sep,2022,14,275,289
Oct,2022,14,375,389
Apr,2019,13,162,175
Jun,2019,13,187,200
Jul,2020,13,211,224
Aug,2021,13,241,254
Sep,2021,13,249,262
Oct,2021,13,226,239
Jun,2020,12,208,220
Mar,2019,11,183,194
Mar,2020,11,170,181
Jul,2019,11,193,204
Sep,2019,11,224,235
Sep,2020,11,154,165
Oct,2020,11,218,229
Nov,2021,11,138,149
Dec,2021,11,210,221
Mar,2021,10,189,199
May,2020,10,182,192
Feb,2019,9,167,176
Apr,2021,9,224,233
Jun,2021,9,231,240
Jul,2022,9,209,218
Aug,2019,9,177,186
Dec,2020,9,195,204
Jan,2021,8,188,196
Apr,2020,8,164,172
Feb,2021,6,159,165
Feb,2022,6,164,170
Apr,2022,6,187,193
